,name,vendor,category,shippingCountry,dollars,positiveRating,negativeRating,rating,main_category,legal,legality_reason
77,3Gr Top Quality MDMA Crystals,Flako,MDMA,Germany,20,7070,61,99,Drug,illegal,hard drug
78,2020 LATEST CARDING GUIDE CC/CVV TO GIFT CARDS,procarder7,eBooks,Not Specified,10,13217,122,99,CC/CVV,depends,"selling of knowlage is not always illegal, but this could be used for payment fraud."
79,THC Vape Carts - 2 PACK $50 **Flav Black Label**,DroDodo,Concentrates,Not Specified,50,2485,0,100,Concentrates,legal,smoking products may be sold online
80,VERIFIED Paypal Account + BML balance 500 usd + CC or BA,procarder7,PayPal,Not Specified,65,13217,122,99,PayPal,illegal,unsolicited sharing and selling of bank details
81,5x Original Ritalin Medikinet adult 20mg,Spasskasse,Others,Germany,50,427,0,100,Others,depends,ritalin is legal on prescription but not for selling it like drugs
82,★★★10 PCS|| XTC ORANGE TESLA 300MG || EU-EU | FAST DELIVERY ★★★,MisterGreen,Ecstasy,France,28,1390,20,99,Drug,illegal,hard drug
83,Generic ress 10mg Valium Diazepam blues. 50 pills UK only,TrumpTower,Valium,United Kingdom,58,640,15,98,Drug,illegal,hard drug
84,Cocaine Higt Quality Fast Ship en France 0.2g 25$,Directkoke,Cocaine,France,25,405,5,99,Drug,illegal,hard drug
85,→  10 Gr Pure Afghan Heroin #H3 [88%],Lidl,Heroin,Netherlands,275,6510,51,99,Drug,illegal,hard drug
86,Codeine Phosphate 60mg x 28 Tablets UK Pharmacy,bluemagic,Others,United Kingdom,60,18313,42,100,Others,illegal,codeine is legal on prescription but not for selling it like drugs
87,Intro Offer 3g Good quality Cocaine!,dreamliner777,Cocaine,United Kingdom,145,1147,10,99,Drug,illegal,hard drug
88,1  gram DUTCH MDMA CHAMPAGNE 86% HQ+,theolddoctor,MDMA,Germany,13,1362,15,99,Drug,illegal,hard drug
89,"→ 0,5 Gr Pure Afghan Heroin #H4 [100%]",Lidl,Heroin,Netherlands,21,6510,51,99,Drug,illegal,hard drug
90,★★★ NEW ★★★ HIGH QUALITY FRUITY POLEN  1 gram ★)★★★TOP QUALITY★,marcopolo1969,Hash,France,16,2573,0,100,Drug,illegal,not specified
91,14G Colombian Cocaine Above ±70% Commercial Grade,roses,Cocaine,Netherlands,74,1005,0,100,Drug,illegal,hard drug
92,7g (¼ oz) POTENT Mushrooms (Psilocybe Cubensis Shroom)  [Capsules],Ondemand,Mushrooms,United States,120,8561,33,100,Mushrooms,illegal,"the drugs is a kind of paddo's, these are illegal drugs"
93,Only the Best Damn Heroin dot com 1gram,scrypto1123,Heroin,United States,100,310,0,100,Drug,illegal,hard drug
94,3 ONE THOUSAND MG THC BRASS KNUCKLE VAPE CARTS ONLY $40 PLUS SHIPPING,Bestpricedcarts,Weed,United States,40,905,0,100,Drug,illegal,not specified
95,★★★20 PILLS || XTC BLUE PUNISHER 300MG || EU-EU | FAST DELIVERY ★★★,MisterGreen,Ecstasy,France,40,1390,20,99,Drug,illegal,hard drug
96,28 Grams Amazonian Cubensis  amazing quality,TrumpTower,Mushrooms,United States,229,640,15,98,Mushrooms,illegal,"the drugs is a kind of paddo's, these are illegal drugs"
97,1 Gram White-Widow Quality Weed,JimmJoness,Weed,Netherlands,10,1849,55,97,Drug,illegal,in small amounts it's legal to carry but selling it is illegal
98,ECSTASY PILLS x 100 pills,gameleaque,Ecstasy,United States,300,135,5,96,Drug,illegal,hard drug
99,** 100 FENDIS xtc PILLS 360mg MDMA + EXTRAS - UK SELLER **,GRUENEWALDSCAVE,Ecstasy,United Kingdom,290,1279,11,99,Drug,illegal,hard drug
100,50 grams | Purest SPEED on Darknet | ✈ WORLDWIDE SHIPPING,thebosseu,Speed,Netherlands,125,2952,10,100,Drug,illegal,hard drug
101,1 Gr Afghan Heroin AA+ Quality,Lucky7,Heroin,Netherlands,22,3316,40,99,Drug,illegal,hard drug
102,3.5G DUTCH MDMA ROCKS VERY PURE (84%) ★★★Promo★★★160$,MyINI,MDMA,United States,160,22809,96,100,Drug,illegal,hard drug
103,Indian Ketamine S+ Isomer (Sugar) 92% Pure High Quality 3g,bluemagic,Ketamine,United Kingdom,57,18313,42,100,Drug,illegal,hard drug
104,★★★ NEW ★★★ BANANA CAKE - 2 G ★★★,marcopolo1969,Weed,France,28,2573,0,100,Drug,illegal,not specified
105,"CREDIT CARDS DATA - US,EU,LATINO,ASIA",procarder7,CC/CVV,Cape Verde,20,13217,122,99,CC/CVV,illegal,unsolicited sharing and selling of bank details
106,#5GR #SALE || AMSTERDAM HAZE 21% THC || SUPER SILVER || USA AUS EU WW,WeAreAMSTERDAM,Weed,Netherlands,55,28944,209,99,Drug,illegal,"only 0,05 thc percentage is allowed"
107,*Meth* (1 Grams Super-Lab Grade Cartel Crystal Meth) *2-3 Day,Ondemand,Meth,United States,80,8561,33,100,Drug,illegal,hard drug
108,#5GR #SALE || KETAMINE S-IOMER 99% || USA AUS EU WW,WeAreAMSTERDAM,Ketamine,Netherlands,138,28944,209,99,Drug,illegal,hard drug
109,10Gr Speed Paste-Amphetamine Paste,Flako,Speed,Germany,15,7070,61,99,Drug,illegal,hard drug
110,Indian Ketamine S+ Isomer (Sugar) 92% Pure High Quality 10g,bluemagic,Ketamine,United Kingdom,170,18313,42,100,Drug,illegal,hard drug
111,10 XTC PILLS 250MG {REDBULL MAYBACH PHILIP PLEIN},Flako,Ecstasy,Germany,16,7070,61,99,Drug,illegal,hard drug
112,2.5 Gram White-Widow Quality Weed,JimmJoness,Weed,Netherlands,22,1849,55,97,Drug,illegal,in small amounts it's legal to carry but selling it is illegal
113,"0,5 Gr Pure Türkisch H4 Heroin",Dutchglory,Heroin,Netherlands,20,990,15,99,Drug,illegal,hard drug
114,1x Oxycodone 30mg A215 Pressed Pill High Quality - USA to USA SUPER FAST SHIPPING,Ondemand,Oxycodon,United States,25,8561,33,100,Drug,illegal,hard drug
115,#5GR #SALE || COLOMBIAN COKE 91% || USA AUS EU WW,WeAreAMSTERDAM,Cocaine,Netherlands,362,28944,209,99,Drug,illegal,hard drug
116,#0.5GR #SALE || COLOMBIAN COKE 91% || USA AUS EU WW,WeAreAMSTERDAM,Cocaine,Netherlands,38,28944,209,99,Drug,illegal,hard drug
117,2  X LSD STAMP DANCING ALIAN / VENDETTA /    300 UG  SUPER STRONG,NoMercyNL,LSD,Netherlands,16,1332,10,99,Drug,illegal,hard drug
118,50Gr Speed Paste-Amphetamine Paste,Flako,Speed,Germany,42,7070,61,99,Drug,illegal,hard drug
119,ETIZOLAM 0.5 MG X 100 PILLS,jaribootiwalla,Others,Not Specified,33,283,5,98,Others,illegal,etizolam is legal on prescription but not for selling it like drugs
120,→  1 Gr Pure Afghan Heroin #H4 [100%],Lidl,Heroin,Netherlands,40,6510,51,99,Drug,illegal,hard drug
121,5 Gr DUTCH MDMA CHAMPAGNE TOP QUALITY,Dutchglory,MDMA,Netherlands,50,990,15,99,Drug,illegal,hard drug
122,NEW ★★★ LEMON-HAZE -  2 G ★★★  WEED,MisterGreen,Weed,France,28,1390,20,99,Drug,illegal,in small amounts it's legal to carry but selling it is illegal
