"No.","Time","Source","Destination","Protocol","Length","Info"
"131","7.590919571","142.250.179.132","10.0.2.15","TLSv1.3","5054","Application Data, Application Data, Application Data, Application Data"
"132","7.590946396","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=114417 Win=65535 Len=0"
"133","7.592761747","142.250.179.132","10.0.2.15","TLSv1.3","2554","Application Data, Application Data"
"134","7.592786789","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=116917 Win=65535 Len=0"
"135","7.592761900","142.250.179.132","10.0.2.15","TLSv1.3","5054","Application Data, Application Data, Application Data, Application Data"
"136","7.592866465","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=121917 Win=65535 Len=0"
"137","7.592761989","142.250.179.132","10.0.2.15","TLSv1.3","1304","Application Data [TCP segment of a reassembled PDU]"
"138","7.592762086","142.250.179.132","10.0.2.15","TLSv1.3","1304","Application Data [TCP segment of a reassembled PDU]"
"139","7.592892846","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=124417 Win=65535 Len=0"
"140","7.597740930","142.250.179.132","10.0.2.15","TLSv1.3","7554","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"141","7.597768695","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=131917 Win=65535 Len=0"
"142","7.598679860","142.250.179.132","10.0.2.15","TLSv1.3","5054","Application Data, Application Data, Application Data, Application Data"
"143","7.598704415","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=136917 Win=65535 Len=0"
"144","7.599019708","142.250.179.132","10.0.2.15","TLSv1.3","2554","Application Data, Application Data"
"145","7.599032317","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=139417 Win=65535 Len=0"
"146","7.599593595","142.250.179.132","10.0.2.15","TLSv1.3","3804","Application Data, Application Data, Application Data"
"147","7.599605964","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=143167 Win=65535 Len=0"
"148","7.599762563","142.250.179.132","10.0.2.15","TLSv1.3","4196","Application Data, Application Data, Application Data"
"149","7.599772165","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=147309 Win=65535 Len=0"
