Date,Open,High,Low,Close
05/12/2021,"8.2882","8.4478","8.2778","8.4303"
05/11/2021,"8.2787","8.3233","8.2725","8.2884"
05/10/2021,"8.2440","8.2836","8.2220","8.2810"
05/07/2021,"8.2824","8.3027","8.2215","8.2386"
05/06/2021,"8.3214","8.3567","8.2735","8.2810"
05/05/2021,"8.3289","8.3787","8.3108","8.3175"
05/04/2021,"8.2387","8.3474","8.2382","8.3288"
05/03/2021,"8.2931","8.3365","8.2390","8.2518"
04/30/2021,"8.2062","8.3235","8.1923","8.2883"
04/29/2021,"8.1988","8.2600","8.1397","8.2177"
04/28/2021,"8.2199","8.2507","8.1568","8.1995"
04/27/2021,"8.2666","8.3019","8.1810","8.2164"
04/26/2021,"8.4394","8.4869","8.2736","8.2819"
04/23/2021,"8.3243","8.4248","8.2996","8.3771"
04/22/2021,"8.1904","8.3683","8.1830","8.3241"
04/21/2021,"8.1161","8.2067","8.1024","8.1897"
04/20/2021,"8.0952","8.1329","8.0720","8.1165"
04/19/2021,"8.0719","8.1106","8.0300","8.0960"
04/16/2021,"8.0204","8.1118","8.0182","8.0720"
04/15/2021,"8.0812","8.1578","8.0140","8.0206"
04/14/2021,"8.1202","8.1321","8.0275","8.0789"
04/13/2021,"8.1572","8.1825","8.1131","8.1196"
04/12/2021,"8.1673","8.2281","8.1173","8.1575"
04/09/2021,"8.1416","8.1956","8.1175","8.1709"
04/08/2021,"8.1613","8.1850","8.1252","8.1414"
04/07/2021,"8.1417","8.2122","8.1289","8.1611"
04/06/2021,"8.1092","8.1795","8.0819","8.1429"
04/05/2021,"8.1665","8.2560","8.0870","8.1080"
04/02/2021,"8.1227","8.1895","7.9775","8.1669"
04/01/2021,"8.2491","8.2898","8.1004","8.1203"
03/31/2021,"8.3392","8.3987","8.2247","8.2489"
03/30/2021,"8.2085","8.4595","8.2006","8.3362"
03/29/2021,"8.1317","8.2148","8.0189","8.2094"
03/26/2021,"7.9489","8.1400","7.9255","8.1400"
03/25/2021,"7.9345","7.9965","7.9014","7.9528"
03/24/2021,"7.9400","8.0426","7.8471","7.9346"
03/23/2021,"7.8008","7.9632","7.7054","7.9442"
03/22/2021,"7.2191","8.2803","7.2189","7.8036"
03/19/2021,"7.3246","7.3654","7.1917","7.2189"
03/18/2021,"7.5059","7.5646","7.2889","7.3250"
03/17/2021,"7.4950","7.6395","7.4839","7.5037"
03/16/2021,"7.5378","7.5471","7.4681","7.4952"
03/15/2021,"7.5628","7.6175","7.5029","7.5366"
03/12/2021,"7.4805","7.6164","7.4781","7.5623"
03/11/2021,"7.5010","7.5518","7.4315","7.4791"
03/10/2021,"7.6170","7.6681","7.4943","7.5021"
03/09/2021,"7.7670","7.7834","7.5928","7.6166"
03/08/2021,"7.5371","7.7881","7.5125","7.7669"
03/05/2021,"7.5079","7.5790","7.4741","7.5392"
03/04/2021,"7.4618","7.5805","7.4044","7.5039"
03/03/2021,"7.3545","7.5000","7.2943","7.4615"
03/02/2021,"7.2898","7.4226","7.2789","7.3522"
03/01/2021,"7.4243","7.4349","7.2221","7.2887"
02/26/2021,"7.3418","7.4850","7.3035","7.4246"
02/25/2021,"7.1687","7.4404","7.1566","7.3432"
02/24/2021,"7.1068","7.2486","7.0729","7.1692"
02/23/2021,"7.0189","7.1163","7.0035","7.1070"
02/22/2021,"6.9634","7.0869","6.9597","7.0194"
02/19/2021,"6.9757","7.0010","6.9483","6.9636"
02/18/2021,"6.9722","7.0103","6.9232","6.9739"
02/17/2021,"6.9878","7.0592","6.9589","6.9735"
02/16/2021,"6.9636","7.0345","6.8974","6.9913"
02/15/2021,"7.0351","7.0368","6.9462","6.9634"
02/12/2021,"7.0233","7.0479","7.0102","7.0369"
02/11/2021,"7.0612","7.0678","7.0107","7.0246"
02/10/2021,"7.0655","7.0869","7.0321","7.0611"
02/09/2021,"7.0731","7.1418","7.0604","7.0637"
02/08/2021,"7.0554","7.1230","7.0290","7.0693"
02/05/2021,"7.1404","7.1473","7.0305","7.0538"
02/04/2021,"7.1624","7.1752","7.1001","7.1379"
02/03/2021,"7.1934","7.2030","7.1267","7.1618"
02/02/2021,"7.1920","7.2058","7.0937","7.1967"
02/01/2021,"7.3127","7.3152","7.1568","7.1918"
01/29/2021,"7.3430","7.3866","7.2773","7.3149"
01/28/2021,"7.3975","7.4323","7.3274","7.3421"
01/27/2021,"7.3496","7.4140","7.3428","7.3968"
01/26/2021,"7.4065","7.4343","7.3354","7.3479"
01/25/2021,"7.4145","7.4268","7.3650","7.4090"
01/22/2021,"7.3671","7.4423","7.3671","7.4145"
01/21/2021,"7.4284","7.4284","7.3500","7.3675"
01/20/2021,"7.4723","7.4842","7.3875","7.4217"
01/19/2021,"7.4834","7.4881","7.4194","7.4741"
01/18/2021,"7.4690","7.5395","7.4543","7.4840"
01/15/2021,"7.3737","7.5107","7.3616","7.4689"
01/14/2021,"7.4084","7.4561","7.3545","7.3719"
01/13/2021,"7.4530","7.4772","7.3872","7.4080"
01/12/2021,"7.4791","7.5179","7.4251","7.4532"
01/11/2021,"7.3679","7.5234","7.3462","7.4799"
01/08/2021,"7.3216","7.4145","7.3114","7.3664"
01/07/2021,"7.3074","7.3922","7.2422","7.3208"
01/06/2021,"7.3911","7.3923","7.2668","7.3067"
01/05/2021,"7.4201","7.4320","7.3633","7.3906"
01/04/2021,"7.4392","7.4470","7.3427","7.4248"
01/01/2021,"7.4369","7.4392","7.4369","7.4392"
